,Actual_DT,Actual_ET,LI_8100_Vent,Multiplexer_CO2_1,Multiplexer_CO2_2,Multiplexer_CO2_3,Picarro_ANEM,Picarro_CO2,Vent_Anem_Temp
319,2019-09-23 11:01:00,1569258060.0,,,,,,1569258186.1,
320,2019-09-23 11:03:00,1569258180.0,,,,,,1569258306.1,
321,2019-09-24 08:38:00,1569335880.0,,,,,,1569336006.4,
322,2019-09-24 08:39:00,1569335940.0,,,,,,1569336066.5,
323,2019-09-24 08:40:00,1569336000.0,,,,,,1569336126.4,
324,2019-09-24 08:40:30,1569336030.0,,,,,,1569336156.6,
325,2019-09-25 19:34:00,1569461640.0,,,,,,1569461767.9,
326,2019-09-25 19:35:00,1569461700.0,,,,,,1569461827.9,
327,2019-09-25 19:36:00,1569461760.0,,,,,,1569461887.9,
328,2019-09-26 12:28:00,1569522480.0,,,,,,1569522608.6,
329,2019-09-26 12:29:00,1569522540.0,,,,,,1569522668.4,
330,2019-09-26 12:30:00,1569522600.0,,,,,,1569522728.4,
331,2019-09-27 08:38:00,1569595080.0,,,,,,1569595209.3,
332,2019-09-27 08:39:00,1569595140.0,,,,,,1569595269.3,
333,2019-09-27 08:40:00,1569595200.0,,,,,,1569595329.3,
334,2019-09-27 18:28:00,1569630480.0,,,,,,1569630609.6,
335,2019-09-27 18:29:00,1569630540.0,,,,,,1569630669.8,
336,2019-09-27 18:30:00,1569630600.0,,,,,,1569630729.7,
337,2019-09-30 08:45:00,1569854700.0,,,,,,1569854831.8,
338,2019-09-30 08:46:00,1569854760.0,,,,,,1569854891.7,
339,2019-09-30 19:58:00,1569895080.0,,,,,,1569895212.0,
340,2019-09-30 19:59:00,1569895140.0,,,,,,1569895272.1,
341,2019-09-30 20:00:00,1569895200.0,,,,,,1569895332.2,
342,2019-10-01 08:29:00,1569940140.0,,,,,,1569940272.5,
343,2019-10-01 08:31:00,1569940260.0,,,,,,1569940392.3,
344,2019-10-01 08:32:00,1569940320.0,,,,,,1569940452.3,
345,2019-10-01 19:33:00,1569979980.0,,,,,,1569980112.8,
346,2019-10-01 19:34:00,1569980040.0,,,,,,1569980172.8,
347,2019-10-01 19:35:00,1569980100.0,,,,,,1569980232.8,
348,2019-10-02 08:28:00,1570026480.0,,,,,,1570026613.3,
349,2019-10-02 08:29:00,1570026540.0,,,,,,1570026673.2,
350,2019-10-02 08:30:00,1570026600.0,,,,,,1570026733.2,
351,2019-10-02 20:06:00,1570068360.0,,,,,,1570068493.7,
352,2019-10-02 20:07:00,1570068420.0,,,,,,1570068553.5,
353,2019-10-02 20:08:00,1570068480.0,,,,,,1570068613.8,
354,2019-10-03 08:29:00,1570112940.0,,,,,,1570113074.0,
355,2019-10-03 08:30:00,1570113000.0,,,,,,1570113133.7,
356,2019-10-03 08:31:00,1570113060.0,,,,,,1570113193.8,
357,2019-09-23 11:00:00,1569258000.0,,,,,1569258123.7,,
358,2019-09-23 11:01:00,1569258060.0,,,,,1569258183.7,,
359,2019-09-23 11:03:00,1569258180.0,,,,,1569258303.5,,
360,2019-09-24 08:38:00,1569335880.0,,,,,1569336003.7,,
361,2019-09-24 08:39:00,1569335940.0,,,,,1569336063.7,,
362,2019-09-24 08:40:00,1569336000.0,,,,,1569336123.8,,
363,2019-09-24 08:40:30,1569336030.0,,,,,1569336154.0,,
364,2019-09-25 19:34:00,1569461640.0,,,,,1569461765.2,,
365,2019-09-25 19:35:00,1569461700.0,,,,,1569461825.2,,
366,2019-09-25 19:36:00,1569461760.0,,,,,1569461885.1,,
367,2019-09-26 12:28:00,1569522480.0,,,,,1569522605.9,,
368,2019-09-26 12:29:00,1569522540.0,,,,,1569522665.8,,
369,2019-09-26 12:30:00,1569522600.0,,,,,1569522725.7,,
370,2019-09-27 08:38:00,1569595080.0,,,,,1569595206.7,,
371,2019-09-27 08:39:00,1569595140.0,,,,,1569595266.7,,
372,2019-09-27 08:40:00,1569595200.0,,,,,1569595326.7,,
373,2019-09-27 18:28:00,1569630480.0,,,,,1569630607.2,,
